Issues	Relationship	Link Issues
HADOOP-18163	is part of	MAPREDUCE-7341
HADOOP-18162	is part of	MAPREDUCE-7341
HADOOP-18035	is part of	HADOOP-16596
HADOOP-17979	incorporates	HADOOP-17492
HADOOP-17839	is part of	HADOOP-15461
HADOOP-17753	is part of	HADOOP-17098
HADOOP-17743	is part of	HADOOP-17098
HADOOP-17513	is part of	HADOOP-17315
HADOOP-17511	incorporates	HADOOP-17498
HADOOP-17498	is part of	HADOOP-17511
HADOOP-17492	is part of	HADOOP-17979
HADOOP-17487	is part of	HADOOP-17079
HADOOP-17450	incorporates	HADOOP-14159
HADOOP-17325	is part of	HDFS-15646
HADOOP-17315	incorporates	HADOOP-17513
HADOOP-17152	is part of	HADOOP-17108
HADOOP-17126	is part of	HADOOP-17108
HADOOP-17108	incorporates	HADOOP-17126
HADOOP-17108	incorporates	HADOOP-17152
HADOOP-17098	incorporates	HADOOP-17743
HADOOP-17098	incorporates	HDFS-16054
HADOOP-17098	incorporates	MAPREDUCE-7350
HADOOP-17098	incorporates	YARN-10805
HADOOP-17098	incorporates	HADOOP-17753
HADOOP-17079	incorporates	HADOOP-17487
HADOOP-16795	mentioned in	Page
HADOOP-16722	is part of	HBASE-23314
HADOOP-16685	incorporates	HADOOP-13256
HADOOP-16670	mentioned in	Page
HADOOP-16596	incorporates	HADOOP-18035
HADOOP-16577	mentioned in	Page
HADOOP-16234	is part of	HADOOP-16233
HADOOP-16233	incorporates	HADOOP-16234
HADOOP-16139	is part of	HADOOP-16068
HADOOP-16068	incorporates	HADOOP-15582
HADOOP-16068	incorporates	HADOOP-16139
HADOOP-16058	incorporates	HADOOP-15890
HADOOP-16058	incorporates	MAPREDUCE-7090
HADOOP-16058	incorporates	MAPREDUCE-7091
HADOOP-16058	incorporates	MAPREDUCE-7092
HADOOP-16016	mentioned in	Page
HADOOP-15991	is part of	HDFS-13713
HADOOP-15958	mentioned in	Page
HADOOP-15890	is part of	HADOOP-16058
HADOOP-15787	mentioned in	Page
HADOOP-15749	is part of	HADOOP-10288
HADOOP-15594	is part of	HADOOP-10783
HADOOP-15583	incorporates	HADOOP-15573
HADOOP-15582	is part of	HADOOP-16068
HADOOP-15573	is part of	HADOOP-15583
HADOOP-15495	is part of	HADOOP-10783
HADOOP-15482	is part of	HADOOP-9991
HADOOP-15473	mentioned in	Page
HADOOP-15461	incorporates	HADOOP-17839
HADOOP-15263	incorporates	HADOOP-14360
HADOOP-15251	mentioned in	Page
HADOOP-15229	incorporates	HADOOP-15364
HADOOP-15183	incorporates	HADOOP-13936
HADOOP-15153	mentioned in	Page
HADOOP-15035	is part of	HADOOP-13761
HADOOP-14859	is part of	HADOOP-13786
HADOOP-14838	is part of	HADOOP-13345
HADOOP-14826	is part of	HADOOP-14738
HADOOP-14801	is part of	HADOOP-14220
HADOOP-14800	is part of	HADOOP-14220
HADOOP-14790	is part of	HADOOP-13327
HADOOP-14738	incorporates	HADOOP-14826
HADOOP-14696	mentioned in	Page
HADOOP-14630	incorporates	HDFS-12101
HADOOP-14556	incorporates	HDFS-13951
HADOOP-14555	is part of	HADOOP-14553
HADOOP-14554	is part of	HADOOP-14553
HADOOP-14553	incorporates	HADOOP-14554
HADOOP-14553	incorporates	HADOOP-14555
HADOOP-14439	is part of	HADOOP-13204
HADOOP-14381	is part of	HADOOP-13786
HADOOP-14360	is part of	HADOOP-15263
HADOOP-14345	is part of	HADOOP-14220
HADOOP-14303	incorporates	HADOOP-13059
HADOOP-14303	is part of	HADOOP-13786
HADOOP-14235	is part of	HADOOP-3257
HADOOP-14220	incorporates	HADOOP-14345
HADOOP-14220	incorporates	HADOOP-14800
HADOOP-14220	incorporates	HADOOP-14801
HADOOP-14159	is part of	HADOOP-17450
HADOOP-14071	is part of	HADOOP-14028
HADOOP-14034	incorporates	HADOOP-13486
HADOOP-14028	incorporates	HADOOP-14071
HADOOP-13985	incorporates	HADOOP-13959
HADOOP-13984	mentioned in	Page
HADOOP-13969	is part of	HADOOP-13786
HADOOP-13968	is part of	HADOOP-13786
HADOOP-13967	is part of	HADOOP-13786
HADOOP-13959	is part of	HADOOP-13985
HADOOP-13936	is part of	HADOOP-15183
HADOOP-13887	incorporates	HADOOP-11621
HADOOP-13866	incorporates	HDFS-11214
HADOOP-13852	incorporates	YARN-5989
HADOOP-13811	is part of	HADOOP-13786
HADOOP-13786	incorporates	HADOOP-13205
HADOOP-13786	incorporates	HADOOP-13811
HADOOP-13786	incorporates	HADOOP-13967
HADOOP-13786	incorporates	HADOOP-13968
HADOOP-13786	incorporates	HADOOP-13969
HADOOP-13786	incorporates	HADOOP-14303
HADOOP-13786	incorporates	HADOOP-14381
HADOOP-13786	incorporates	MAPREDUCE-6823
HADOOP-13786	incorporates	HADOOP-14859
HADOOP-13761	incorporates	HADOOP-15035
HADOOP-10017	is part of	HADOOP-8828
HADOOP-10016	is part of	HADOOP-8828
HADOOP-9991	incorporates	HADOOP-13659
HADOOP-9991	incorporates	HADOOP-13660
HADOOP-9991	incorporates	HADOOP-13661
HADOOP-9991	incorporates	HADOOP-15482
HADOOP-9973	is part of	HBASE-9557
HADOOP-9951	is part of	HADOOP-9804
HADOOP-9950	is part of	HADOOP-9804
