Issues	Relationship	Link Issues
HADOOP-18390	is caused by	HADOOP-18321
HADOOP-18372	is related to	HADOOP-18344
HADOOP-18371	is caused by	HADOOP-12020
HADOOP-18367	is blocked by	HADOOP-18190
HADOOP-18366	is duplicated by	HADOOP-18386
HADOOP-18365	is a child of	HADOOP-18396
HADOOP-18365	is duplicated by	HADOOP-18346
HADOOP-18357	is a child of	HADOOP-17193
HADOOP-18356	is related to	HADOOP-18033
HADOOP-18345	is required by	HDFS-13522
HADOOP-18344	is depended upon by	HADOOP-18393
HADOOP-18344	is duplicated by	HADOOP-18350
HADOOP-18344	is related to	SPARK-39969
HADOOP-18339	is depended upon by	HADOOP-16259
HADOOP-18339	is related to	HADOOP-12020
HADOOP-18336	is related to	PARQUET-2134
HADOOP-18334	is related to	HADOOP-16797
HADOOP-18333	is duplicated by	HADOOP-18343
HADOOP-18332	is related to	HADOOP-18305
HADOOP-18331	is duplicated by	HADOOP-18160
HADOOP-18330	is broken by	HADOOP-14556
HADOOP-18328	is related to	HADOOP-18095
HADOOP-18324	is caused by	HADOOP-6762
HADOOP-18322	is caused by	HADOOP-18103
HADOOP-18322	is related to	HADOOP-18315
HADOOP-18314	is related to	HADOOP-14309
HADOOP-18311	is depended upon by	HADOOP-18305
HADOOP-18305	is blocked by	HADOOP-13386
HADOOP-18305	is duplicated by	HADOOP-18293
HADOOP-18305	is related to	HADOOP-18401
HADOOP-18303	is related to	HADOOP-18033
HADOOP-18292	is broken by	HADOOP-12020
HADOOP-18290	is related to	HADOOP-18198
HADOOP-18287	is related to	PARQUET-2158
HADOOP-18286	is related to	HADOOP-18073
HADOOP-18286	is related to	HADOOP-18285
HADOOP-18284	is caused by	HDFS-16563
HADOOP-18284	is fixed by	MAPREDUCE-7387
HADOOP-18284	is fixed by	YARN-11172
HADOOP-18281	is blocked by	HADOOP-17833
HADOOP-18281	is related to	HADOOP-12020
HADOOP-18276	is related to	HADOOP-18158
HADOOP-18276	is related to	HADOOP-14671
HADOOP-18275	is related to	YARN-11173
HADOOP-18271	is a child of	HADOOP-18232
HADOOP-18267	is related to	HADOOP-16598
HADOOP-18257	is blocked by	HADOOP-18256
HADOOP-18241	is related to	HDFS-16629
HADOOP-18238	is caused by	HADOOP-17528
HADOOP-18237	is depended upon by	HADOOP-18305
HADOOP-18231	is required by	HADOOP-18243
HADOOP-18230	is a child of	HADOOP-18221
HADOOP-18229	is related to	HADOOP-18244
HADOOP-18222	is broken by	HADOOP-18167
HADOOP-18222	is fixed by	YARN-11138
HADOOP-18219	is broken by	HADOOP-15983
HADOOP-18218	is related to	HADOOP-18291
HADOOP-18214	is depended upon by	HADOOP-18198
HADOOP-18203	is depended upon by	HADOOP-18164
HADOOP-18203	is related to	HADOOP-15133
HADOOP-18201	is caused by	HADOOP-14661
HADOOP-18201	is related to	HADOOP-18194
HADOOP-18198	is blocked by	HADOOP-18202
HADOOP-18198	is related to	HADOOP-18293
HADOOP-18198	is related to	HADOOP-18305
HADOOP-18194	is related to	HADOOP-18095
HADOOP-18194	is related to	HADOOP-18168
HADOOP-18192	is caused by	HADOOP-18088
HADOOP-18180	is duplicated by	HADOOP-18176
HADOOP-18179	is depended upon by	HADOOP-18067
HADOOP-18178	is depended upon by	HADOOP-18393
HADOOP-18178	is depended upon by	HADOOP-18198
HADOOP-18178	is duplicated by	HADOOP-18212
HADOOP-18173	is related to	SPARK-38652
HADOOP-18168	is caused by	HADOOP-17784
HADOOP-18164	is related to	HADOOP-12760
HADOOP-18160	is depended upon by	HADOOP-18198
HADOOP-18160	is related to	SPARK-38330
HADOOP-18159	is related to	HADOOP-18307
HADOOP-18158	is related to	HADOOP-16748
HADOOP-18158	is related to	HADOOP-14671
HADOOP-18155	is depended upon by	HADOOP-18198
HADOOP-18154	is duplicated by	HADOOP-18349
HADOOP-18143	is broken by	HADOOP-18082
HADOOP-18143	is caused by	HADOOP-17046
HADOOP-18140	is duplicated by	HADOOP-16549
HADOOP-18136	is duplicated by	HADOOP-18137
HADOOP-18135	is blocked by	HADOOP-18134
HADOOP-18134	is blocked by	HADOOP-18133
HADOOP-18133	is blocked by	HADOOP-17193
HADOOP-18129	is related to	HDFS-15289
HADOOP-18125	is depended upon by	HADOOP-18198
HADOOP-18113	is related to	HADOOP-18112
HADOOP-18109	is depended upon by	HADOOP-18198
HADOOP-18109	is related to	HADOOP-16582
HADOOP-18109	is related to	HDFS-10650
HADOOP-18103	is related to	HADOOP-18287
HADOOP-18096	is broken by	HDFS-14869
HADOOP-18094	is caused by	HADOOP-17511
HADOOP-18094	is depended upon by	HADOOP-18091
HADOOP-18091	is caused by	HADOOP-17511
