Issues,Relationship,Link Issues
HADOOP-18393,depends upon,HADOOP-18344
HADOOP-18393,depends upon,HADOOP-18178
HADOOP-18391,relates to,HADOOP-11867
HADOOP-18390,is caused by,HADOOP-18321
HADOOP-18386,duplicates,HADOOP-18366
HADOOP-18373,depends upon,HADOOP-17461
HADOOP-18373,relates to,HADOOP-17461
HADOOP-18372,is related to,HADOOP-18344
HADOOP-18371,is caused by,HADOOP-12020
HADOOP-18367,depends upon,HADOOP-17461
HADOOP-18367,is blocked by,HADOOP-18190
HADOOP-18366,is duplicated by,HADOOP-18386
HADOOP-18365,is a child of,HADOOP-18396
HADOOP-18365,is duplicated by,HADOOP-18346
HADOOP-18357,is a child of,HADOOP-17193
HADOOP-18356,is related to,HADOOP-18033
HADOOP-18354,relates to,HBASE-27239
HADOOP-18352,relates to,HADOOP-18073
HADOOP-18350,duplicates,HADOOP-18344
HADOOP-18349,duplicates,HADOOP-18154
HADOOP-18346,blocks,HDDS-7004
HADOOP-18346,duplicates,HADOOP-18365
HADOOP-18345,is required by,HDFS-13522
HADOOP-18344,is depended upon by,HADOOP-18393
HADOOP-18344,is duplicated by,HADOOP-18350
HADOOP-18344,is related to,SPARK-39969
HADOOP-18344,relates to,HADOOP-18372
HADOOP-18343,duplicates,HADOOP-18333
HADOOP-18342,relates to,HADOOP-13386
HADOOP-18340,relates to,HADOOP-13611
HADOOP-18339,is depended upon by,HADOOP-16259
HADOOP-18339,is related to,HADOOP-12020
HADOOP-18338,requires,HADOOP-17705
HADOOP-18336,is related to,PARQUET-2134
HADOOP-18334,is related to,HADOOP-16797
HADOOP-18333,is duplicated by,HADOOP-18343
HADOOP-18332,is related to,HADOOP-18305
HADOOP-18332,relates to,HADOOP-18033
HADOOP-18332,supercedes,HADOOP-18323
HADOOP-18331,is duplicated by,HADOOP-18160
HADOOP-18330,is broken by,HADOOP-14556
HADOOP-18328,is related to,HADOOP-18095
HADOOP-18324,is caused by,HADOOP-6762
HADOOP-18323,is superceded by,HADOOP-18332
HADOOP-18322,is caused by,HADOOP-18103
HADOOP-18322,is related to,HADOOP-18315
HADOOP-18321,causes,HADOOP-18390
HADOOP-18321,relates to,HADOOP-18400
HADOOP-18315,fixes,HADOOP-11867
HADOOP-18315,relates to,HADOOP-18322
HADOOP-18314,is related to,HADOOP-14309
HADOOP-18313,relates to,HADOOP-17386
HADOOP-18313,relates to,HADOOP-17631
HADOOP-18311,is a parent of,YARN-11199
HADOOP-18311,is depended upon by,HADOOP-18305
HADOOP-18307,relates to,HADOOP-18159
HADOOP-18305,depends upon,HADOOP-18068
HADOOP-18305,depends upon,HADOOP-18074
HADOOP-18305,depends upon,HADOOP-18085
HADOOP-18305,depends upon,HADOOP-18237
HADOOP-18305,depends upon,HDFS-16453
HADOOP-18305,depends upon,YARN-11092
HADOOP-18305,depends upon,YARN-11126
HADOOP-18305,depends upon,YARN-11162
HADOOP-18305,depends upon,HADOOP-18311
HADOOP-18305,depends upon,HADOOP-18044
HADOOP-18305,is blocked by,HADOOP-13386
HADOOP-18305,is duplicated by,HADOOP-18293
HADOOP-18305,is related to,HADOOP-18401
HADOOP-18305,relates to,HADOOP-18332
HADOOP-18305,relates to,HADOOP-18198
HADOOP-18303,is related to,HADOOP-18033
HADOOP-18300,is a clone of,HADOOP-13464
HADOOP-18293,duplicates,HADOOP-18305
HADOOP-18293,relates to,HADOOP-18198
HADOOP-18292,is broken by,HADOOP-12020
HADOOP-18291,relates to,HADOOP-18218
HADOOP-18290,is related to,HADOOP-18198
HADOOP-18290,relates to,HADOOP-18088
HADOOP-18287,is related to,PARQUET-2158
HADOOP-18287,relates to,HADOOP-18103
HADOOP-18287,relates to,HADOOP-15229
HADOOP-18287,relates to,HADOOP-15691
HADOOP-18287,relates to,HDFS-3246
HADOOP-18286,is related to,HADOOP-18073
HADOOP-18286,is related to,HADOOP-18285
HADOOP-18285,relates to,HADOOP-18286
HADOOP-18284,is caused by,HDFS-16563
HADOOP-18284,is fixed by,MAPREDUCE-7387
HADOOP-18284,is fixed by,YARN-11172
HADOOP-18281,is blocked by,HADOOP-17833
HADOOP-18281,is related to,HADOOP-12020
HADOOP-18278,duplicates,HADOOP-15460
HADOOP-18277,is a parent of,MAPREDUCE-7390
HADOOP-18277,is a parent of,YARN-11187
HADOOP-18277,relates to,HADOOP-14188
HADOOP-18276,is related to,HADOOP-18158
HADOOP-18276,is related to,HADOOP-14671
HADOOP-18275,is related to,YARN-11173
HADOOP-18271,is a child of,HADOOP-18232
HADOOP-18270,is a parent of,HDFS-16612
HADOOP-18270,is a parent of,YARN-11167
HADOOP-18270,is a parent of,MAPREDUCE-7384
HADOOP-18267,is related to,HADOOP-16598
HADOOP-18265,relates to,HDFS-16616
HADOOP-18257,is blocked by,HADOOP-18256
HADOOP-18256,blocks,HADOOP-18257
HADOOP-18248,relates to,HDFS-16590
HADOOP-18244,relates to,HADOOP-18229
HADOOP-18243,requires,HADOOP-18231
HADOOP-18241,is related to,HDFS-16629
HADOOP-18238,is caused by,HADOOP-17528
HADOOP-18237,is depended upon by,HADOOP-18305
HADOOP-18234,relates to,HADOOP-17198
HADOOP-18233,relates to,SPARK-38934
HADOOP-18232,is a parent of,MAPREDUCE-7377
HADOOP-18232,is a parent of,HADOOP-18271
HADOOP-18232,is a parent of,HDFS-16576
HADOOP-18232,is a parent of,YARN-11142
HADOOP-18231,is required by,HADOOP-18243
HADOOP-18230,is a child of,HADOOP-18221
HADOOP-18229,is related to,HADOOP-18244
HADOOP-18222,Dependent,YARN-11122
HADOOP-18222,Dependent,YARN-11130
HADOOP-18222,Dependent,YARN-11123
HADOOP-18222,is broken by,HADOOP-18167
HADOOP-18222,is fixed by,YARN-11138
HADOOP-18221,is a parent of,HADOOP-18230
HADOOP-18219,is broken by,HADOOP-15983
HADOOP-18218,is related to,HADOOP-18291
HADOOP-18214,is depended upon by,HADOOP-18198
HADOOP-18212,duplicates,HADOOP-18178
HADOOP-18212,duplicates,HADOOP-17341
HADOOP-18212,Is contained by,HADOOP-18198
HADOOP-18203,is depended upon by,HADOOP-18164
HADOOP-18203,is related to,HADOOP-15133
HADOOP-18202,blocks,HADOOP-18198
HADOOP-18201,is caused by,HADOOP-14661
HADOOP-18201,is related to,HADOOP-18194
HADOOP-18200,relates to,HADOOP-17612
HADOOP-18198,contains,HADOOP-18212
HADOOP-18198,depends upon,HDFS-16422
HADOOP-18198,depends upon,HDFS-16437
HADOOP-18198,depends upon,HDFS-16507
HADOOP-18198,depends upon,YARN-10720
HADOOP-18198,depends upon,HADOOP-17650
HADOOP-18198,depends upon,HADOOP-18109
HADOOP-18198,depends upon,HADOOP-18160
HADOOP-18198,depends upon,HADOOP-18178
HADOOP-18198,depends upon,HDFS-16428
HADOOP-18198,depends upon,YARN-11014
HADOOP-18198,depends upon,YARN-11075
HADOOP-18198,depends upon,HADOOP-17341
HADOOP-18198,depends upon,HDFS-11041
HADOOP-18198,depends upon,HADOOP-18088
HADOOP-18198,depends upon,HDFS-16501
HADOOP-18198,depends upon,MAPREDUCE-7373
HADOOP-18198,depends upon,HADOOP-18214
HADOOP-18198,depends upon,HDFS-16355
HADOOP-18198,depends upon,HADOOP-18155
HADOOP-18198,depends upon,HADOOP-18125
HADOOP-18198,is blocked by,HADOOP-18202
HADOOP-18198,is related to,HADOOP-18293
HADOOP-18198,is related to,HADOOP-18305
HADOOP-18198,relates to,HADOOP-18290
HADOOP-18197,duplicates,HADOOP-17860
HADOOP-18195,is superceded by,HADOOP-15983
HADOOP-18194,is related to,HADOOP-18095
HADOOP-18194,is related to,HADOOP-18168
HADOOP-18194,relates to,HADOOP-18201
HADOOP-18192,is caused by,HADOOP-18088
HADOOP-18190,blocks,HADOOP-18367
HADOOP-18182,relates to,HADOOP-17338
HADOOP-18180,is duplicated by,HADOOP-18176
HADOOP-18179,depends upon,HADOOP-18028
HADOOP-18179,depends upon,HADOOP-16202
HADOOP-18179,is depended upon by,HADOOP-18067
HADOOP-18179,relates to,HADOOP-17842
HADOOP-18178,is depended upon by,HADOOP-18393
HADOOP-18178,is depended upon by,HADOOP-18198
HADOOP-18178,is duplicated by,HADOOP-18212
HADOOP-18178,relates to,HADOOP-18033
HADOOP-18176,duplicates,HADOOP-18180
HADOOP-18173,is related to,SPARK-38652
HADOOP-18170,blocks,YARN-11096
HADOOP-18168,is caused by,HADOOP-17784
HADOOP-18168,relates to,HADOOP-18194
HADOOP-18167,breaks,HADOOP-18222
HADOOP-18167,causes,YARN-11122
HADOOP-18167,causes,YARN-11138
HADOOP-18167,causes,YARN-11130
HADOOP-18167,causes,YARN-11123
HADOOP-18164,depends upon,HADOOP-18203
HADOOP-18164,is related to,HADOOP-12760
HADOOP-18163,contains,HADOOP-16204
HADOOP-18163,contains,HADOOP-17976
HADOOP-18163,is part of,MAPREDUCE-7341
HADOOP-18162,is part of,MAPREDUCE-7341
HADOOP-18162,relates to,HADOOP-17833
HADOOP-18160,duplicates,HADOOP-18331
HADOOP-18160,is depended upon by,HADOOP-18198
HADOOP-18160,is related to,SPARK-38330
HADOOP-18159,is related to,HADOOP-18307
HADOOP-18158,is related to,HADOOP-16748
HADOOP-18158,is related to,HADOOP-14671
HADOOP-18158,relates to,HADOOP-18276
HADOOP-18157,duplicates,HADOOP-18019
HADOOP-18155,is depended upon by,HADOOP-18198
HADOOP-18154,is duplicated by,HADOOP-18349
HADOOP-18150,relates to,HADOOP-18091
HADOOP-18147,duplicates,HADOOP-18075
HADOOP-18143,is broken by,HADOOP-18082
HADOOP-18143,is caused by,HADOOP-17046
HADOOP-18140,is duplicated by,HADOOP-16549
HADOOP-18140,relates to,HADOOP-12817
HADOOP-18140,relates to,HADOOP-16000
HADOOP-18137,duplicates,HADOOP-18136
HADOOP-18136,is duplicated by,HADOOP-18137
HADOOP-18135,is blocked by,HADOOP-18134
HADOOP-18134,blocks,HADOOP-18135
HADOOP-18134,is blocked by,HADOOP-18133
HADOOP-18133,blocks,HADOOP-18134
HADOOP-18133,is blocked by,HADOOP-17193
HADOOP-18129,is related to,HDFS-15289
HADOOP-18126,relates to,HADOOP-14693
HADOOP-18125,is depended upon by,HADOOP-18198
HADOOP-18117,fixes,HADOOP-15211
HADOOP-18116,duplicates,HADOOP-17402
HADOOP-18113,is related to,HADOOP-18112
HADOOP-18112,relates to,HADOOP-18113
HADOOP-18109,is depended upon by,HADOOP-18198
HADOOP-18109,is related to,HADOOP-16582
HADOOP-18109,is related to,HDFS-10650
HADOOP-18103,causes,HADOOP-18322
HADOOP-18103,is related to,HADOOP-18287
HADOOP-18099,relates to,HADOOP-16439
HADOOP-18096,is broken by,HDFS-14869
HADOOP-18095,relates to,HADOOP-18194
HADOOP-18095,relates to,HADOOP-18328
HADOOP-18094,is caused by,HADOOP-17511
HADOOP-18094,is depended upon by,HADOOP-18091
HADOOP-18092,duplicates,HADOOP-17593
HADOOP-18091,depends upon,HADOOP-18094
HADOOP-18091,is caused by,HADOOP-17511
HADOOP-18091,is related to,HADOOP-18150
HADOOP-18088,causes,HADOOP-18192
HADOOP-18088,is depended upon by,HADOOP-18198
HADOOP-18088,is related to,HADOOP-18290
HADOOP-18088,relates to,SPARK-39334
HADOOP-18088,supercedes,HADOOP-17221
HADOOP-18086,is related to,HADOOP-17648
HADOOP-18086,relates to,TEZ-4378
HADOOP-18085,is caused by,HADOOP-18068
HADOOP-18085,is depended upon by,HADOOP-18305
HADOOP-18085,relates to,HADOOP-17198
HADOOP-18082,breaks,HADOOP-18143
HADOOP-18079,is duplicated by,HDFS-16651
HADOOP-18079,supercedes,HDFS-16384
HADOOP-18077,is related to,HADOOP-18055
HADOOP-18076,relates to,HADOOP-17338
HADOOP-18075,is caused by,HADOOP-17979
HADOOP-18075,is duplicated by,HADOOP-18147
HADOOP-18074,is depended upon by,HADOOP-18305
HADOOP-18073,is related to,HADOOP-18352
HADOOP-18073,relates to,HADOOP-18286
HADOOP-18072,is blocked by,HADOOP-17474
HADOOP-18069,duplicates,HDFS-16453
HADOOP-18068,causes,HADOOP-18085
HADOOP-18068,is depended upon by,HADOOP-18305
HADOOP-18068,is related to,HADOOP-17198
HADOOP-18067,depends upon,HADOOP-18028
HADOOP-18067,depends upon,HADOOP-18179
HADOOP-18067,supercedes,HADOOP-17566
HADOOP-18066,blocks,HIVE-25829
HADOOP-18066,is related to,HIVE-14822
HADOOP-18062,duplicates,HADOOP-18061
HADOOP-18062,relates to,HADOOP-17445
HADOOP-18061,is duplicated by,HADOOP-18062
HADOOP-18056,is related to,HIVE-25787
HADOOP-18055,is related to,HBASE-21926
HADOOP-18055,relates to,HADOOP-18077
HADOOP-18055,relates to,HIVE-20202
HADOOP-18053,duplicates,HADOOP-12956
HADOOP-18052,is related to,HADOOP-17939
HADOOP-18049,relates to,HADOOP-17120
HADOOP-18047,relates to,HADOOP-11699
HADOOP-18047,relates to,HADOOP-8917
HADOOP-18046,is broken by,HADOOP-18024
HADOOP-18044,is depended upon by,HADOOP-18305
HADOOP-18043,is broken by,HADOOP-18034
HADOOP-18042,relates to,HADOOP-18001
HADOOP-18040,relates to,HADOOP-16596
HADOOP-18040,relates to,HADOOP-18035
HADOOP-18037,duplicates,HADOOP-17796
HADOOP-18036,relates to,HADOOP-17653
HADOOP-18035,is part of,HADOOP-16596
HADOOP-18035,is related to,HADOOP-18040
HADOOP-18034,breaks,HADOOP-18043
HADOOP-18033,breaks,TEZ-4420
HADOOP-18033,is blocked by,HADOOP-15984
HADOOP-18033,is related to,HADOOP-16908
HADOOP-18033,is related to,HADOOP-18178
HADOOP-18033,is related to,HADOOP-18332
HADOOP-18033,relates to,BIGTOP-3760
HADOOP-18033,relates to,HADOOP-18303
HADOOP-18033,relates to,HADOOP-17534
HADOOP-18033,relates to,HADOOP-18356
HADOOP-18028,is depended upon by,HADOOP-18067
HADOOP-18028,is depended upon by,HADOOP-18179
HADOOP-18028,is related to,HIVE-25827
HADOOP-18025,breaks,YARN-11045
HADOOP-18024,breaks,HADOOP-18046
HADOOP-18024,is related to,KAFKA-13457
HADOOP-18024,is related to,HADOOP-17552
HADOOP-18023,relates to,HADOOP-14698
HADOOP-18023,relates to,HADOOP-17998
HADOOP-18021,is broken by,YARN-10852
HADOOP-18021,is broken by,YARN-10911
HADOOP-18021,is required by,OOZIE-3642
HADOOP-18019,is duplicated by,HADOOP-18157
HADOOP-18016,relates to,HADOOP-18015
HADOOP-18015,is related to,HADOOP-18016
HADOOP-18013,is related to,HADOOP-17691
HADOOP-18012,relates to,HADOOP-17934
HADOOP-18012,relates to,HADOOP-18002
HADOOP-18012,relates to,HADOOP-17979
HADOOP-18012,relates to,MAPREDUCE-7341
HADOOP-18010,is a clone of,HDFS-16325
HADOOP-18003,is depended upon by,HDFS-16310
HADOOP-18002,contains,HADOOP-17989
HADOOP-18002,is related to,HADOOP-18012
HADOOP-18002,is related to,HADOOP-17979
HADOOP-18002,relates to,HADOOP-17934
HADOOP-18002,relates to,HADOOP-17981
HADOOP-18001,is related to,HADOOP-18042
HADOOP-18001,relates to,HADOOP-17796
HADOOP-17999,relates to,HDFS-15289
HADOOP-17998,is related to,HADOOP-18023
HADOOP-17993,is a clone of,HADOOP-17985
HADOOP-17992,duplicates,HADOOP-17988
HADOOP-17992,is a clone of,HADOOP-17985
HADOOP-17991,is caused by,HADOOP-17873
HADOOP-17989,is caused by,HADOOP-17934
HADOOP-17989,Is contained by,HADOOP-18002
HADOOP-17988,is a clone of,HADOOP-17985
HADOOP-17988,is duplicated by,HADOOP-17992
HADOOP-17987,is a clone of,HADOOP-17985
HADOOP-17986,is a clone of,HADOOP-17985
HADOOP-17985,is cloned by,HADOOP-17986
HADOOP-17985,is cloned by,HADOOP-17987
HADOOP-17985,is cloned by,HADOOP-17988
HADOOP-17985,is cloned by,HADOOP-17992
HADOOP-17985,is cloned by,HADOOP-17993
HADOOP-17983,relates to,HADOOP-17851
HADOOP-17981,is related to,HADOOP-18002
HADOOP-17981,is related to,HDDS-2935
HADOOP-17981,relates to,HADOOP-17979
HADOOP-17981,relates to,MAPREDUCE-7341
HADOOP-17979,blocks,MAPREDUCE-7341
HADOOP-17979,causes,HADOOP-18075
HADOOP-17979,incorporates,HADOOP-17492
HADOOP-17979,is related to,HADOOP-18012
HADOOP-17979,is related to,HADOOP-17981
HADOOP-17979,relates to,HADOOP-18002
HADOOP-17978,is depended upon by,HADOOP-17880
HADOOP-17978,relates to,HADOOP-17750
HADOOP-17976,Is contained by,HADOOP-18163
HADOOP-17975,relates to,HBASE-20433
HADOOP-17975,relates to,HBASE-12819
HADOOP-17972,relates to,HADOOP-17683
HADOOP-17970,is required by,HADOOP-17110
HADOOP-17967,is related to,HADOOP-17098
HADOOP-17966,relates to,HADOOP-16794
HADOOP-17965,is related to,HADOOP-16870
HADOOP-17960,blocks,HADOOP-17123
HADOOP-17956,relates to,HADOOP-17950
HADOOP-17953,relates to,HADOOP-13887
HADOOP-17951,relates to,HADOOP-17198
HADOOP-17950,is related to,HADOOP-17956
HADOOP-17948,duplicates,YARN-3606
HADOOP-17939,is related to,PARQUET-2150
HADOOP-17939,relates to,HADOOP-18052
HADOOP-17937,relates to,HADOOP-17195
HADOOP-17936,is related to,HADOOP-17139
HADOOP-17936,is related to,HADOOP-16878
HADOOP-17935,is related to,HADOOP-17833
HADOOP-17935,relates to,HADOOP-17063
HADOOP-17935,relates to,HADOOP-16823
HADOOP-17934,causes,HADOOP-17989
HADOOP-17934,is related to,HADOOP-18012
HADOOP-17934,is related to,HADOOP-18002
HADOOP-17931,is broken by,YARN-2190
HADOOP-17930,is required by,HADOOP-17123
HADOOP-17929,is required by,HADOOP-17123
HADOOP-17928,relates to,HADOOP-17597
HADOOP-17925,is related to,HADOOP-14835
HADOOP-17922,relates to,HADOOP-17871
HADOOP-17917,is related to,HADOOP-15993
HADOOP-17916,duplicates,HADOOP-17891
HADOOP-17913,blocks,HADOOP-17902
HADOOP-17910,relates to,HDFS-15685
HADOOP-17906,Discovered while testing,MAPREDUCE-7341
HADOOP-17905,causes,HIVE-25686
HADOOP-17905,Dependent,HADOOP-17901
HADOOP-17904,is caused by,HADOOP-17807
HADOOP-17902,is blocked by,HADOOP-17913
HADOOP-17901,causes,HIVE-25686
HADOOP-17901,Dependent,HADOOP-17905
HADOOP-17901,is caused by,HADOOP-16951
HADOOP-17900,is related to,HADOOP-16777
HADOOP-17899,is related to,HADOOP-16318
HADOOP-17899,is related to,HADOOP-17870
HADOOP-17899,is related to,HADOOP-14693
HADOOP-17898,duplicates,HADOOP-17563
HADOOP-17898,supercedes,HADOOP-15832
HADOOP-17893,duplicates,HDFS-14801
HADOOP-17893,relates to,HADOOP-17804
HADOOP-17893,relates to,HADOOP-16398
HADOOP-17891,causes,SPARK-36681
HADOOP-17891,is duplicated by,HADOOP-17916
HADOOP-17891,is related to,HADOOP-17125
HADOOP-17891,is related to,HADOOP-17292
HADOOP-17891,relates to,SPARK-36669
HADOOP-17889,is related to,HADOOP-16492
HADOOP-17887,is related to,HADOOP-17825
HADOOP-17886,supercedes,HADOOP-17516
HADOOP-17885,is related to,HADOOP-17844
HADOOP-17884,Is contained by,HADOOP-16202
HADOOP-17883,Is contained by,HADOOP-16202
HADOOP-17882,Is contained by,HADOOP-16202
HADOOP-17880,depends upon,HADOOP-17978
HADOOP-17877,is caused by,HADOOP-17825
HADOOP-17873,causes,HADOOP-17991
HADOOP-17872,is a child of,HADOOP-17853
HADOOP-17871,is related to,HADOOP-13887
HADOOP-17871,is related to,HADOOP-17922
HADOOP-17870,relates to,HADOOP-17899
HADOOP-17869,is duplicated by,HADOOP-13637
HADOOP-17869,relates to,HADOOP-15183
HADOOP-17868,is related to,HADOOP-17825
HADOOP-17864,is a child of,HADOOP-17853
HADOOP-17860,is duplicated by,HADOOP-18197
HADOOP-17857,is depended upon by,YARN-1115
HADOOP-17857,relates to,YARN-9975
HADOOP-17853,is a parent of,HADOOP-17864
HADOOP-17853,is a parent of,HADOOP-17872
HADOOP-17851,is related to,HADOOP-16259
HADOOP-17851,is related to,HADOOP-17983
HADOOP-17850,is related to,HADOOP-17849
HADOOP-17850,relates to,HADOOP-17253
HADOOP-17849,relates to,HADOOP-17850
HADOOP-17844,relates to,HADOOP-17885
HADOOP-17844,relates to,HADOOP-17633
HADOOP-17842,is related to,HADOOP-18179
HADOOP-17841,is related to,HADOOP-17835
HADOOP-17839,is part of,HADOOP-15461
HADOOP-17839,relates to,HADOOP-8772
HADOOP-17835,is related to,HADOOP-17612
HADOOP-17835,relates to,HADOOP-17841
HADOOP-17833,blocks,HADOOP-18281
HADOOP-17833,breaks,HADOOP-18402
HADOOP-17833,contains,HADOOP-15460
HADOOP-17833,depends upon,MAPREDUCE-7341
HADOOP-17833,is related to,HADOOP-17584
HADOOP-17833,is related to,HADOOP-18162
HADOOP-17833,relates to,HADOOP-17935
HADOOP-17831,duplicates,HADOOP-16206
HADOOP-17825,causes,HADOOP-17877
HADOOP-17825,relates to,HADOOP-17887
HADOOP-17825,relates to,HADOOP-17868
HADOOP-17824,Discovered while testing,HADOOP-17812
HADOOP-17823,relates to,HADOOP-13887
HADOOP-17823,relates to,HADOOP-17817
HADOOP-17822,is caused by,HADOOP-17511
HADOOP-17817,is related to,HADOOP-17823
HADOOP-17817,relates to,HADOOP-13887
HADOOP-17812,depends upon,HADOOP-17764
HADOOP-17812,Testing discovered,HADOOP-17824
HADOOP-17807,causes,HADOOP-17904
HADOOP-17804,is related to,HADOOP-17893
HADOOP-17801,is caused by,HADOOP-16711
HADOOP-17800,is a clone of,HADOOP-11890
HADOOP-17798,relates to,HADOOP-17787
HADOOP-17797,relates to,HADOOP-17475
HADOOP-17796,is duplicated by,HADOOP-18037
HADOOP-17796,is related to,HADOOP-18001
HADOOP-17796,relates to,HADOOP-17655
HADOOP-17796,relates to,HIVE-24484
HADOOP-17794,relates to,HADOOP-17568
HADOOP-17793,relates to,HADOOP-14001
HADOOP-17792,duplicates,HADOOP-12665
HADOOP-17789,Discovered while testing,HADOOP-17755
