 Ticket-no	id	Summary	Project	IssueType	Status	Sub-task	IssuelinksCount	Issuelinks	Description	Created time	Updated time	attachment	resolution	priority
HDT-64	0	Remove .gitignore files from source distribution	HDT	Bug	Open	[]	0	[]	None	2014-07-27T06:53:55.000+0000	2014-07-27T06:53:55.000+0000	[]	None	Major
HDT-63	1	remove bin directory under o.a.hdt.ui project.	HDT	Bug	Closed	[]	0	[]	None	2014-07-05T06:55:10.000+0000	2014-07-18T03:26:16.000+0000	[<JIRA Attachment: filename='0001-HDT-63-replacing-bin-with-target-classes.patch', id='12654198', mimeType='text/x-patch'>]	Fixed	Trivial
HDT-62	2	Replace images under the EPL licence	HDT	Bug	Closed	[]	0	[]	"There are a few  images under the o.a.hdt.ui/icons folder which require EPL license. Check if they are being used if so replace them with apache licence.

The original source of EPL images is not working. The images can be downloaded from http://web.archive.org/web/20120426142722/http://tech.joelbecker.net/articles/resources/5-eclipseicons "	2014-07-05T06:54:13.000+0000	2014-07-20T04:10:13.000+0000	[<JIRA Attachment: filename='0001-HDT-62-removing-images-from-EPL-license.patch', id='12656436', mimeType='text/x-patch'>]	Fixed	Minor
HDT-61	3	MapReduce Project wizard should support different multiple versions of hadoop	HDT	New Feature	Resolved	[]	0	[]	None	2014-06-11T03:55:55.000+0000	2014-06-20T08:52:47.000+0000	[<JIRA Attachment: filename='0001-HDT-61.patch', id='12650727', mimeType='text/x-patch'>]	Fixed	Major
HDT-60	4	HDFS Actions should show error messages to user	HDT	Improvement	Open	[]	0	[]	While adding a HDFS server if there are error they get prompted back to the user. But after the site has been successfully added any error that  may occur are not getting prompted to the user. The plugin simply disconnects the server in such cases.	2014-05-23T03:45:04.000+0000	2014-05-23T03:45:04.000+0000	[]	None	Major
HDT-59	5	Switch to Java 7	HDT	Improvement	Open	[]	0	[]	JDK 1.7 should be our default for future versions.	2014-05-16T08:01:03.000+0000	2014-05-16T10:45:15.000+0000	[]	None	Major
HDT-58	6	"Distribute latest release as ""Eclipse Update Site"""	HDT	Improvement	Open	[]	0	[]	In order to use HDT one should be able to install the latest version from HDT-Project-Website Eclipse Update feature.	2014-05-16T07:42:23.000+0000	2014-05-16T07:42:23.000+0000	[]	None	Minor
HDT-57	7	Update Wikipages with quickstart instructions.	HDT	Documentation	Open	[]	0	[]	"How to start with HDT? The Quick-start guide shows, how HDT can be installed from an Update-Site, how a new project is created and how a map reduce job is started. 

Section 1:  Setup
Section 2:  Create a project
Section 3:  Run Jobs
Section 4:  Inspect Zookeeper and HDFS data  "	2014-05-16T07:32:15.000+0000	2014-05-16T07:32:15.000+0000	[]	None	Major
HDT-56	8	server.xmi is shared for all eclipse workspaces on a machine	HDT	Bug	Resolved	[]	0	[]	hdt.core plugin keeps track of servers in serve.xmi file. Currently the file is stored in the bundle iinstalled location. Due to this if we create a zookeeper server in a workspace it will be loaded in any new workspace.  This data should be workspace specific.	2014-05-16T07:17:17.000+0000	2014-05-23T03:25:00.000+0000	[<JIRA Attachment: filename='0002-HDT-56-server.xmi-is-shared.patch', id='12645212', mimeType='text/x-patch'>]	Fixed	Major
HDT-55	9	Zookeeper Actions should show error messages to user	HDT	Improvement	Resolved	[]	0	[]	Curretly Zookeeper servers do not show error message to the user. Also it is possible to error a zookeeper to an invalid location. Modify all actions to show error messages and do not add a server if error in connection. This is the same behavior for HDFS and MR cluster.	2014-05-16T06:38:27.000+0000	2014-05-23T03:24:35.000+0000	[<JIRA Attachment: filename='0001-HDT-55-Adding-Error-Handling-to-ZooKeeper-Actions.patch', id='12645213', mimeType='text/x-patch'>]	Fixed	Major
